spp,sp_code,shpcode,DIVISION,FAMILY,GENUS,SPECIES,Ha,Ma,Ka,Oa,Mo,La,Ke,Ni,Pioneer,Envelope gap,GAP_Habitat,Substrate,Forest,Shrubland,Grassland,Alien_hab_comp,CCE_Area,Common Name,Conservation Status,Status.simplified,Native Status,Coastal,spp_old,family_old,genus_old,species_old,Status.simplified_old,Test spp,TEs,temp
Argyroxiphium caliginis,32,Argcali,Dicot,Asteraceae,Argyroxiphium,caliginis,0,26,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5.7573,Eke silversword,Rare,Rare,Endemic,Non_coastal,Argyroxiphium caliginis,Asteraceae,Argyroxiphium,caliginis,Rare,1,0,0
Argyroxiphium grayanum,33,Arggray,Dicot,Asteraceae,Argyroxiphium,grayanum,0,27,0,0,0,0,0,0,0,0,0,0,1,1,1,0,87.2757,Greensword,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Argyroxiphium grayanum,Asteraceae,Argyroxiphium,grayanum,Apparently Secure,0,0,0
Argyroxiphium kauense,34,Argkaue,Dicot,Asteraceae,Argyroxiphium,kauense,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,558.2493,Ka‘? silversword,Endangered,Endangered,Endemic,Non_coastal,Argyroxiphium kauense,Asteraceae,Argyroxiphium,kauense,Endangered,1,1,0
Argyroxiphium sandwicense,35,Argsand,Dicot,Asteraceae,Argyroxiphium,sandwicense,23,28,0,0,0,0,0,0,0,0,0,0,1,1,1,0,483.9021,‘?hinahina,Endangered,Endangered,Endemic,Non_coastal,Argyroxiphium sandwicense,Asteraceae,Argyroxiphium,sandwicense,Endangered,0,1,0
Argyroxiphium virescens,36,Argvire,Dicot,Asteraceae,Argyroxiphium,virescens,0,29,0,0,0,0,0,0,0,0,0,0,1,1,1,0,107.19,Greensword,Extinct,Extinct,Endemic,Non_coastal,Argyroxiphium virescens,Asteraceae,Argyroxiphium,virescens,Extinct,0,0,0
Artemisia australis,37,Artaust,Dicot,Asteraceae,Artemisia,australis,24,30,26,27,22,22,5,5,0,0,0,0,1,1,1,1,4792.9707,‘?hinahina,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Artemisia australis,Asteraceae,Artemisia,australis,Apparently Secure,0,0,0
Artemisia kauaiensis,38,Artkaua,Dicot,Asteraceae,Artemisia,kauaiensis,0,0,27,0,0,0,0,0,0,0,0,0,1,1,1,0,234.4878,‘?hinahina,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Artemisia kauaiensis,Asteraceae,Artemisia,kauaiensis,Apparently Secure,0,0,0
Artemisia mauiensis,39,Artmaui,Dicot,Asteraceae,Artemisia,mauiensis,0,31,0,0,0,0,0,0,0,0,0,0,1,1,1,1,353.0124,‘?hinahina,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Artemisia mauiensis,Asteraceae,Artemisia,mauiensis,Apparently Secure,1,0,0
Asplenium acuminatum,40,Aspacum,Pteridophyte,Aspleniaceae,Asplenium,acuminatum,25,32,28,28,23,23,0,0,0,0,0,0,1,1,1,0,2282.7285,Lola,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Asplenium acuminatum,Aspleniaceae,Asplenium,acuminatum,Apparently Secure,0,0,0
Asplenium adiantum-nigrum,41,Aspadia,Pteridophyte,Aspleniaceae,Asplenium,adiantum-nigrum,26,33,29,29,24,24,0,0,1,0,0,0,1,1,1,0,9510.9048,‘Iwa ‘iwa,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Asplenium adiantum-nigrum,Aspleniaceae,Asplenium,adiantum-nigrum,Apparently Secure,0,0,0
