"","","","","","","pSum",""
"42",1e-04,0.333333333333333,0.111111111111111,1e-04,0.222222222222222,0.666666666666667,0.333333333333333
"43",1e-04,0.333333333333333,0.111111111111111,1e-04,1e-04,0.444444444444444,0.555555555555556
"44",1e-04,0.333333333333333,0.111111111111111,1e-04,0.111111111111111,0.555555555555556,0.444444444444444
"45",1e-04,0.333333333333333,0.111111111111111,1e-04,0.222222222222222,0.666666666666667,0.333333333333333
"46",1e-04,0.333333333333333,1e-04,1e-04,1e-04,0.333333333333333,0.666666666666667
"47",1e-04,0.333333333333333,1e-04,1e-04,0.111111111111111,0.444444444444444,0.555555555555556
"48",1e-04,0.333333333333333,1e-04,1e-04,0.222222222222222,0.555555555555556,0.444444444444444
"49",1e-04,0.333333333333333,1e-04,1e-04,1e-04,0.333333333333333,0.666666666666667
"50",1e-04,0.333333333333333,1e-04,1e-04,0.111111111111111,0.444444444444444,0.555555555555556
"51",1e-04,0.333333333333333,1e-04,1e-04,0.222222222222222,0.555555555555556,0.444444444444444
"52",1e-04,0.333333333333333,1e-04,1e-04,1e-04,0.333333333333333,0.666666666666667
"53",1e-04,0.333333333333333,1e-04,1e-04,0.111111111111111,0.444444444444444,0.555555555555556
"54",1e-04,0.333333333333333,1e-04,1e-04,0.222222222222222,0.555555555555556,0.444444444444444
"55",0.111111111111111,1e-04,0.222222222222222,1e-04,1e-04,0.333333333333333,0.666666666666667
"56",0.111111111111111,1e-04,0.222222222222222,1e-04,0.111111111111111,0.444444444444444,0.555555555555556
"57",0.111111111111111,1e-04,0.222222222222222,1e-04,0.222222222222222,0.555555555555556,0.444444444444444
"58",0.111111111111111,1e-04,0.222222222222222,1e-04,1e-04,0.333333333333333,0.666666666666667
"59",0.111111111111111,1e-04,0.222222222222222,1e-04,0.111111111111111,0.444444444444444,0.555555555555556
"60",0.111111111111111,1e-04,0.222222222222222,1e-04,0.222222222222222,0.555555555555556,0.444444444444444
"61",0.111111111111111,1e-04,0.222222222222222,1e-04,1e-04,0.333333333333333,0.666666666666667
"62",0.111111111111111,1e-04,0.222222222222222,1e-04,0.111111111111111,0.444444444444444,0.555555555555556
"63",0.111111111111111,1e-04,0.222222222222222,1e-04,0.222222222222222,0.555555555555556,0.444444444444444
"64",0.111111111111111,1e-04,0.111111111111111,1e-04,1e-04,0.222222222222222,0.777777777777778
"65",0.111111111111111,1e-04,0.111111111111111,1e-04,0.111111111111111,0.333333333333333,0.666666666666667
"66",0.111111111111111,1e-04,0.111111111111111,1e-04,0.222222222222222,0.444444444444444,0.555555555555556
"67",0.111111111111111,1e-04,0.111111111111111,1e-04,1e-04,0.222222222222222,0.777777777777778
"68",0.111111111111111,1e-04,0.111111111111111,1e-04,0.111111111111111,0.333333333333333,0.666666666666667
"69",0.111111111111111,1e-04,0.111111111111111,1e-04,0.222222222222222,0.444444444444444,0.555555555555556
"70",0.111111111111111,1e-04,0.111111111111111,1e-04,1e-04,0.222222222222222,0.777777777777778
"71",0.111111111111111,1e-04,0.111111111111111,1e-04,0.111111111111111,0.333333333333333,0.666666666666667
"72",0.111111111111111,1e-04,0.111111111111111,1e-04,0.222222222222222,0.444444444444444,0.555555555555556
"73",0.111111111111111,1e-04,1e-04,1e-04,1e-04,0.111111111111111,0.888888888888889
"74",0.111111111111111,1e-04,1e-04,1e-04,0.111111111111111,0.222222222222222,0.777777777777778
"75",0.111111111111111,1e-04,1e-04,1e-04,0.222222222222222,0.333333333333333,0.666666666666667
"76",0.111111111111111,1e-04,1e-04,1e-04,1e-04,0.111111111111111,0.888888888888889
"77",0.111111111111111,1e-04,1e-04,1e-04,0.111111111111111,0.222222222222222,0.777777777777778
"78",0.111111111111111,1e-04,1e-04,1e-04,0.222222222222222,0.333333333333333,0.666666666666667
"79",0.111111111111111,1e-04,1e-04,1e-04,1e-04,0.111111111111111,0.888888888888889
"80",0.111111111111111,1e-04,1e-04,1e-04,0.111111111111111,0.222222222222222,0.777777777777778
"81",0.111111111111111,1e-04,1e-04,1e-04,0.222222222222222,0.333333333333333,0.666666666666667
"82",0.111111111111111,0.333333333333333,0.222222222222222,1e-04,1e-04,0.666666666666667,0.333333333333333
"83",0.111111111111111,0.333333333333333,0.222222222222222,1e-04,0.111111111111111,0.777777777777778,0.222222222222222
"84",0.111111111111111,0.333333333333333,0.222222222222222,1e-04,0.222222222222222,0.888888888888889,0.111111111111111
"85",0.111111111111111,0.333333333333333,0.222222222222222,1e-04,1e-04,0.666666666666667,0.333333333333333
