"","","","","","","","pSum",""
"41",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.272727272727273,0.727272727272727
"42",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.818181818181818
"43",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.272727272727273,0.727272727272727
"44",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.818181818181818
"45",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,1e-04,0.0909090909090909,0.909090909090909
"46",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.454545454545455,0.545454545454545
"47",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.363636363636364,0.636363636363636
"48",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.272727272727273,0.727272727272727
"49",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.363636363636364,0.636363636363636
"50",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.272727272727273,0.727272727272727
"51",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.818181818181818
"52",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.272727272727273,0.727272727272727
"53",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.818181818181818
"54",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,1e-04,0.0909090909090909,0.909090909090909
"55",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.363636363636364,0.636363636363636
"56",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.272727272727273,0.727272727272727
"57",1e-04,1e-04,1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.818181818181818
"58",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.272727272727273,0.727272727272727
"59",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.181818181818182,0.818181818181818
"60",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.909090909090909
"61",1e-04,1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.818181818181818
"62",1e-04,1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.909090909090909
"63",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"64",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.363636363636364,0.636363636363636
"65",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.272727272727273,0.727272727272727
"66",1e-04,1e-04,1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.818181818181818
"67",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.272727272727273,0.727272727272727
"68",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.181818181818182,0.818181818181818
"69",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.909090909090909
"70",1e-04,1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.818181818181818
"71",1e-04,1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.909090909090909
"72",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"73",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.181818181818182,0.363636363636364,0.636363636363636
"74",1e-04,1e-04,1e-04,1e-04,0.181818181818182,0.0909090909090909,0.272727272727273,0.727272727272727
"75",1e-04,1e-04,1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.818181818181818
"76",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.272727272727273,0.727272727272727
"77",1e-04,1e-04,1e-04,1e-04,0.0909090909090909,0.0909090909090909,0.181818181818182,0.818181818181818
