"","","","","","","pSum",""
"46",1e-04,0.222222222222222,0.333333333333333,0.222222222222222,1e-04,0.777777777777778,0.222222222222222
"47",1e-04,0.222222222222222,0.333333333333333,0.222222222222222,1e-04,0.777777777777778,0.222222222222222
"48",1e-04,0.222222222222222,0.333333333333333,0.222222222222222,1e-04,0.777777777777778,0.222222222222222
"49",1e-04,0.222222222222222,0.333333333333333,0.111111111111111,1e-04,0.666666666666667,0.333333333333333
"50",1e-04,0.222222222222222,0.333333333333333,0.111111111111111,1e-04,0.666666666666667,0.333333333333333
"51",1e-04,0.222222222222222,0.333333333333333,0.111111111111111,1e-04,0.666666666666667,0.333333333333333
"52",1e-04,0.222222222222222,0.333333333333333,1e-04,1e-04,0.555555555555556,0.444444444444444
"53",1e-04,0.222222222222222,0.333333333333333,1e-04,1e-04,0.555555555555556,0.444444444444444
"54",1e-04,0.222222222222222,0.333333333333333,1e-04,1e-04,0.555555555555556,0.444444444444444
"55",0.222222222222222,1e-04,1e-04,0.222222222222222,1e-04,0.444444444444444,0.555555555555556
"56",0.222222222222222,1e-04,1e-04,0.222222222222222,1e-04,0.444444444444444,0.555555555555556
"57",0.222222222222222,1e-04,1e-04,0.222222222222222,1e-04,0.444444444444444,0.555555555555556
"58",0.222222222222222,1e-04,1e-04,0.111111111111111,1e-04,0.333333333333333,0.666666666666667
"59",0.222222222222222,1e-04,1e-04,0.111111111111111,1e-04,0.333333333333333,0.666666666666667
"60",0.222222222222222,1e-04,1e-04,0.111111111111111,1e-04,0.333333333333333,0.666666666666667
"61",0.222222222222222,1e-04,1e-04,1e-04,1e-04,0.222222222222222,0.777777777777778
"62",0.222222222222222,1e-04,1e-04,1e-04,1e-04,0.222222222222222,0.777777777777778
"63",0.222222222222222,1e-04,1e-04,1e-04,1e-04,0.222222222222222,0.777777777777778
"64",0.222222222222222,1e-04,0.333333333333333,0.222222222222222,1e-04,0.777777777777778,0.222222222222222
"65",0.222222222222222,1e-04,0.333333333333333,0.222222222222222,1e-04,0.777777777777778,0.222222222222222
"66",0.222222222222222,1e-04,0.333333333333333,0.222222222222222,1e-04,0.777777777777778,0.222222222222222
